case_id,tx_id,coord,success,fault,elapsed_ms,error
1,seed-2026000-case-1,2pc,True,none,339.442,
4,seed-2026003-case-4,2pc,True,none,9.47,
7,seed-2026006-case-7,2pc,True,none,639.771,
10,seed-2026009-case-10,2pc,True,none,440.685,
13,seed-2026012-case-13,2pc,True,none,739.514,
16,seed-2026015-case-16,2pc,True,none,540.086,
19,seed-2026018-case-19,2pc,True,none,1139.505,
22,seed-2026021-case-22,2pc,True,none,838.121,
25,seed-2026024-case-25,2pc,True,none,939.753,
28,seed-2026027-case-28,2pc,True,none,1241.106,
31,seed-2026030-case-31,2pc,True,none,1340.688,
34,seed-2026033-case-34,2pc,True,none,1038.049,
37,seed-2026036-case-37,2pc,True,none,7.925,
40,seed-2026039-case-40,2pc,True,none,6.599,
43,seed-2026042-case-43,2pc,True,none,8.709,
46,seed-2026045-case-46,2pc,True,none,7.493,
49,seed-2026048-case-49,2pc,True,none,12.557,
52,seed-2026051-case-52,2pc,True,none,7.475,
55,seed-2026054-case-55,2pc,True,none,9.274,
58,seed-2026057-case-58,2pc,True,none,7.414,
61,seed-2026060-case-61,2pc,True,none,8.621,
64,seed-2026063-case-64,2pc,True,none,7.482,
67,seed-2026066-case-67,2pc,True,none,9.028,
70,seed-2026069-case-70,2pc,True,none,7.601,
73,seed-2026072-case-73,2pc,True,none,9.622,
76,seed-2026075-case-76,2pc,True,none,7.9,
79,seed-2026078-case-79,2pc,True,none,8.671,
82,seed-2026081-case-82,2pc,True,none,7.471,
85,seed-2026084-case-85,2pc,True,none,10.32,
88,seed-2026087-case-88,2pc,True,none,7.173,
91,seed-2026090-case-91,2pc,True,none,7.42,
94,seed-2026093-case-94,2pc,True,none,7.433,
97,seed-2026096-case-97,2pc,True,none,6.863,
100,seed-2026099-case-100,2pc,True,none,7.287,
103,seed-2026102-case-103,2pc,True,none,9.225,
106,seed-2026105-case-106,2pc,True,none,7.562,
109,seed-2026108-case-109,2pc,True,none,9.393,
112,seed-2026111-case-112,2pc,True,none,8.573,
115,seed-2026114-case-115,2pc,True,none,7.613,
118,seed-2026117-case-118,2pc,True,none,7.061,
2,seed-2026001-case-2,2pc,False,omission,4.616,pasarela sin respuesta
5,seed-2026004-case-5,2pc,False,omission,638.186,pasarela sin respuesta
8,seed-2026007-case-8,2pc,True,omission,345.541,
11,seed-2026010-case-11,2pc,True,omission,247.564,
