cpu_segundos,dataset_max_order_id,detalles_fuente,duracion_segundos,filas_join,master,motor,ordenes_fuente,pandas,python,repeticion,rss_final_mb,rss_inicial_mb,spark,usuarios_fuente
0.11,600000,600000,18.5675,570000,local[1],pyspark,600000,,3.8.10,1,50.043,49.887,3.5.5,10000
0.09,600000,600000,17.507568,570000,local[1],pyspark,600000,,3.8.10,2,49.949,49.793,3.5.5,10000
0.08,600000,600000,17.272225,570000,local[1],pyspark,600000,,3.8.10,3,50.176,50.02,3.5.5,10000
0.08,600000,600000,16.867014,570000,local[1],pyspark,600000,,3.8.10,4,50.691,50.535,3.5.5,10000
0.09,600000,600000,18.404631,570000,local[1],pyspark,600000,,3.8.10,5,50.234,49.922,3.5.5,10000
0.08,600000,600000,16.285524,570000,local[1],pyspark,600000,,3.8.10,6,49.777,49.777,3.5.5,10000
0.09,600000,600000,17.135085,570000,local[1],pyspark,600000,,3.8.10,7,50.66,50.348,3.5.5,10000
0.07,600000,600000,17.314072,570000,local[1],pyspark,600000,,3.8.10,8,49.91,49.441,3.5.5,10000
0.08,600000,600000,15.657077,570000,local[1],pyspark,600000,,3.8.10,9,50.559,50.402,3.5.5,10000
0.08,600000,600000,16.020814,570000,local[1],pyspark,600000,,3.8.10,10,50.309,50.152,3.5.5,10000
0.08,600000,600000,15.422449,570000,local[2],pyspark,600000,,3.8.10,1,50.16,50.004,3.5.5,10000
0.07,600000,600000,15.580392,570000,local[2],pyspark,600000,,3.8.10,2,50.516,50.516,3.5.5,10000
0.07,600000,600000,17.016398,570000,local[2],pyspark,600000,,3.8.10,3,50.621,50.309,3.5.5,10000
0.11,600000,600000,20.346366,570000,local[2],pyspark,600000,,3.8.10,4,50.75,50.438,3.5.5,10000
0.09,600000,600000,15.936461,570000,local[2],pyspark,600000,,3.8.10,5,50.316,50.16,3.5.5,10000
0.09,600000,600000,15.508021,570000,local[2],pyspark,600000,,3.8.10,6,50.426,50.27,3.5.5,10000
0.08,600000,600000,16.40639,570000,local[2],pyspark,600000,,3.8.10,7,50.402,50.09,3.5.5,10000
0.08,600000,600000,15.647412,570000,local[2],pyspark,600000,,3.8.10,8,50.699,50.387,3.5.5,10000
0.08,600000,600000,17.729401,570000,local[2],pyspark,600000,,3.8.10,9,50.402,50.246,3.5.5,10000
0.08,600000,600000,15.624501,570000,local[2],pyspark,600000,,3.8.10,10,50.379,50.066,3.5.5,10000
0.1,600000,600000,16.63456,570000,local[4],pyspark,600000,,3.8.10,1,50.652,50.496,3.5.5,10000
0.09,600000,600000,16.619644,570000,local[4],pyspark,600000,,3.8.10,2,50.352,50.039,3.5.5,10000
0.1,600000,600000,16.27581,570000,local[4],pyspark,600000,,3.8.10,3,50.32,50.164,3.5.5,10000
0.1,600000,600000,18.044254,570000,local[4],pyspark,600000,,3.8.10,4,49.855,49.699,3.5.5,10000
0.08,600000,600000,16.811987,570000,local[4],pyspark,600000,,3.8.10,5,49.766,49.609,3.5.5,10000
0.09,600000,600000,16.814224,570000,local[4],pyspark,600000,,3.8.10,6,50.574,50.262,3.5.5,10000
0.09,600000,600000,17.391294,570000,local[4],pyspark,600000,,3.8.10,7,50.543,50.387,3.5.5,10000
0.09,600000,600000,16.409439,570000,local[4],pyspark,600000,,3.8.10,8,50.27,50.113,3.5.5,10000
0.09,600000,600000,17.632927,570000,local[4],pyspark,600000,,3.8.10,9,50.168,50.012,3.5.5,10000
0.09,600000,600000,16.36852,570000,local[4],pyspark,600000,,3.8.10,10,49.887,49.73,3.5.5,10000
0.08,600000,600000,17.506258,570000,local[8],pyspark,600000,,3.8.10,1,49.828,49.672,3.5.5,10000
0.09,600000,600000,16.70802,570000,local[8],pyspark,600000,,3.8.10,2,50.121,50.121,3.5.5,10000
0.08,600000,600000,16.48289,570000,local[8],pyspark,600000,,3.8.10,3,50.004,49.848,3.5.5,10000
0.1,600000,600000,19.504038,570000,local[8],pyspark,600000,,3.8.10,4,50.352,50.195,3.5.5,10000
0.08,600000,600000,17.152549,570000,local[8],pyspark,600000,,3.8.10,5,50.113,50.113,3.5.5,10000
0.09,600000,600000,16.562268,570000,local[8],pyspark,600000,,3.8.10,6,50.188,50.031,3.5.5,10000
0.08,600000,600000,17.340915,570000,local[8],pyspark,600000,,3.8.10,7,50.328,50.016,3.5.5,10000
0.09,600000,600000,16.551462,570000,local[8],pyspark,600000,,3.8.10,8,50.402,50.246,3.5.5,10000
0.1,600000,600000,19.280232,570000,local[8],pyspark,600000,,3.8.10,9,50.27,50.113,3.5.5,10000
0.12,600000,600000,18.877882,570000,local[8],pyspark,600000,,3.8.10,10,50.426,50.27,3.5.5,10000
2.171875,600000,600000,3.001942,570000,single-process,pandas,600000,2.2.3,3.12.13,1,106.867,87.398,,10000
2.21875,600000,600000,2.971318,570000,single-process,pandas,600000,2.2.3,3.12.13,2,111.062,87.191,,10000
1.953125,600000,600000,2.675872,570000,single-process,pandas,600000,2.2.3,3.12.13,3,111.391,87.523,,10000
1.953125,600000,600000,2.677626,570000,single-process,pandas,600000,2.2.3,3.12.13,4,111.402,87.434,,10000
2.125,600000,600000,2.957631,570000,single-process,pandas,600000,2.2.3,3.12.13,5,111.379,87.473,,10000
2.078125,600000,600000,2.593768,570000,single-process,pandas,600000,2.2.3,3.12.13,6,112.512,87.473,,10000
2.03125,600000,600000,2.828769,570000,single-process,pandas,600000,2.2.3,3.12.13,7,111.625,87.742,,10000
2.03125,600000,600000,2.557526,570000,single-process,pandas,600000,2.2.3,3.12.13,8,111.312,87.484,,10000
