fallo,coord,concurrencia,repeticiones,requests_total_mediana,requests_fail_mediana,tasa_error_mediana,checkout_total_mediana,checkout_fail_mediana,checkout_confirmadas_mediana,latencia_p50_ms_mediana,latencia_p95_ms_mediana,latencia_p99_ms_mediana,throughput_rps_mediana,locust_cpu_pct_media_mediana,locust_cpu_pct_max_mediana,locust_mem_mb_media_mediana,locust_mem_mb_max_mediana,duracion_segundos_mediana
none,2pc,50,5,108.0,44.0,0.425926,1.0,1.0,0.0,18000.0,60000.0,60000.0,1.536209,0.0,0.0,71.24,73.64,90.849
none,2pc,100,5,246.0,142.0,0.586777,5.0,5.0,0.0,4900.0,60000.0,62000.0,3.114633,0.0,0.0,74.79,77.73,90.919
none,2pc,200,5,781.0,581.0,0.743918,0.0,0.0,0.0,12000.0,38000.0,60000.0,8.795176,0.0,0.0,80.21,84.29,90.941
none,2pc,400,5,813.0,406.0,0.499385,0.0,0.0,0.0,17000.0,17000.0,45000.0,9.193418,0.0,0.0,94.1,102.21,91.079
none,saga,50,5,158.0,77.0,0.487342,0.0,0.0,0.0,3300.0,60000.0,60000.0,1.79924,0.0,0.0,71.65,74.04,90.842
none,saga,100,5,372.0,247.0,0.658667,0.0,0.0,0.0,4300.0,60000.0,60000.0,4.22855,0.0,0.0,74.71,77.99,90.858
none,saga,200,5,562.0,362.0,0.644128,0.0,0.0,0.0,13000.0,60000.0,60000.0,7.274839,0.0,0.0,80.57,84.3,90.937
none,saga,400,5,1463.0,1072.0,0.743412,0.0,0.0,0.0,17000.0,22000.0,24000.0,16.46839,0.0,0.0,96.39,106.24,91.1
omission,2pc,50,5,104.0,47.0,0.47,3.0,3.0,0.0,11000.0,60000.0,60000.0,1.480207,0.0,0.0,71.57,73.71,90.842
omission,2pc,100,5,369.0,269.0,0.728997,0.0,0.0,0.0,3400.0,60000.0,62000.0,4.185583,0.02,0.8,74.61,77.57,90.893
omission,2pc,200,5,670.0,445.0,0.664179,4.0,4.0,0.0,11000.0,34000.0,60000.0,7.583746,0.0,0.0,80.32,84.18,90.895
omission,2pc,400,5,1238.0,858.0,0.693053,0.0,0.0,0.0,17000.0,17000.0,17000.0,15.433295,0.0,0.0,95.99,105.39,91.041
omission,saga,50,5,111.0,41.0,0.4,2.0,2.0,0.0,11000.0,60000.0,60000.0,1.448783,0.0,0.0,71.49,73.61,90.846
omission,saga,100,5,678.0,568.0,0.837758,3.0,3.0,0.0,4400.0,60000.0,60000.0,7.652425,0.0,0.0,74.8,77.51,90.894
omission,saga,200,5,602.0,482.0,0.692847,0.0,0.0,0.0,13000.0,60000.0,60000.0,7.608025,0.0,0.0,80.35,84.4,90.944
omission,saga,400,5,1633.0,1633.0,1.0,0.0,0.0,0.0,17000.0,17000.0,17000.0,18.399986,0.0,0.0,96.53,107.12,91.035
timing,2pc,50,5,101.0,39.0,0.386139,0.0,0.0,0.0,13000.0,60000.0,60000.0,1.514324,0.0,0.0,71.66,73.83,90.843
timing,2pc,100,5,380.0,270.0,0.710526,0.0,0.0,0.0,4700.0,60000.0,62000.0,4.931217,0.0,0.0,74.82,77.16,90.907
timing,2pc,200,5,671.0,439.0,0.664062,1.0,1.0,0.0,11000.0,60000.0,60000.0,7.606155,0.0,0.0,80.27,84.29,90.93
timing,2pc,400,5,1193.0,809.0,0.678122,0.0,0.0,0.0,17000.0,26000.0,28000.0,15.096282,0.0,0.0,96.12,105.88,91.073
timing,saga,50,5,116.0,50.0,0.44,0.0,0.0,0.0,14000.0,60000.0,60000.0,1.51231,0.0,0.0,71.68,73.85,90.808
timing,saga,100,5,378.0,270.0,0.714286,1.0,1.0,0.0,4200.0,60000.0,60000.0,4.375156,0.0,0.0,74.73,77.49,90.842
timing,saga,200,5,742.0,542.0,0.730458,0.0,0.0,0.0,11000.0,60000.0,60000.0,8.352908,0.0,0.0,80.36,84.61,90.89
timing,saga,400,5,1466.0,1070.0,0.729877,0.0,0.0,0.0,17000.0,28000.0,32000.0,16.496142,0.0,0.0,95.22,106.29,91.064
