fallo,coord,concurrencia,repeticion,warmup_seconds,measure_seconds,fault_probability,delay_seconds,usuarios_objetivo,usuarios_spawneados,requests_total,requests_fail,tasa_error,checkout_total,checkout_fail,checkout_confirmadas,tasa_abortos_checkout,codigos_http_json,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,throughput_rps,locust_cpu_pct_media,locust_cpu_pct_max,locust_mem_mb_media,locust_mem_mb_max,locust_warning_detected,locust_warning_texto,inicio_epoch,duracion_segundos
none,2pc,50,1,60.0,90.0,0.0,5.0,50,50,147,73,0.496599,12,12,0,1.0,"{""0"": 38, ""200"": 74, ""503"": 35}",3400,62000,62000,1.6562634251316521,0.0,0.0,70.78,72.91,False,,1788520615.585,90.825
none,2pc,100,1,60.0,90.0,0.0,5.0,100,100,246,114,0.463415,14,14,0,1.0,"{""0"": 76, ""200"": 132, ""503"": 42}",3600,60000,62000,2.770648651288913,2.32,104.2,74.44,77.46,False,,1788520864.962,90.878
none,2pc,200,1,60.0,90.0,0.0,5.0,200,200,554,390,0.703971,0,0,0,,"{""0"": 390, ""200"": 164}",17000,18000,60000,7.107298503948074,0.02,0.8,82.69,88.03,False,,1788521180.726,90.85
none,2pc,400,1,60.0,90.0,0.0,5.0,400,400,1657,1657,1.0,0,0,0,,"{""0"": 1657}",17000,17000,17000,18.495843874503247,0.02,0.8,96.62,106.98,False,,1788521627.877,91.14
omission,2pc,50,1,60.0,90.0,0.1,5.0,50,50,104,23,0.221154,4,4,0,1.0,"{""0"": 24, ""200"": 81}",22000,60000,60000,1.1881452521160982,0.0,0.0,72.0,74.32,False,,1788521847.028,90.827
omission,2pc,100,1,60.0,90.0,0.1,5.0,100,100,201,79,0.393035,1,1,0,1.0,"{""0"": 78, ""200"": 122, ""500"": 1}",14000,60000,60000,2.5819605388042017,0.02,0.8,74.55,77.74,False,,1788522094.35,90.929
omission,2pc,200,1,60.0,90.0,0.1,5.0,200,200,454,268,0.590308,8,8,0,1.0,"{""0"": 271, ""200"": 186}",17000,18000,60000,5.125652226840877,2.17,97.7,81.85,85.71,False,,1788522417.285,90.895
omission,2pc,400,1,60.0,90.0,0.1,5.0,400,400,1631,1631,1.0,0,0,0,,"{""0"": 1660}",17000,17000,17000,18.40783329314914,0.0,0.0,97.44,108.37,False,,1788522860.303,91.039
timing,2pc,50,1,60.0,90.0,0.1,5.0,50,50,101,40,0.39604,1,1,0,1.0,"{""0"": 39, ""200"": 61, ""500"": 1}",13000,60000,60000,1.443673050596481,0.0,0.0,71.66,73.83,False,,1788523076.469,90.855
timing,2pc,100,1,60.0,90.0,0.1,5.0,100,100,247,134,0.54251,0,0,0,,"{""0"": 87, ""200"": 113, ""503"": 47}",4300,60000,60000,3.5153058643079964,0.0,0.0,74.04,77.02,False,,1788523330.092,90.907
timing,2pc,200,1,60.0,90.0,0.1,5.0,200,200,674,439,0.651335,19,19,0,1.0,"{""0"": 93, ""200"": 235, ""500"": 1, ""503"": 345}",8300,62000,62000,7.6061551871704,0.0,0.0,80.4,84.82,False,,1788523646.643,90.889
timing,2pc,400,1,60.0,90.0,0.1,5.0,400,400,1633,1633,1.0,0,0,0,,"{""0"": 1656}",17000,17000,17000,18.413859349144488,1.1,50.4,96.42,106.81,False,,1788524089.565,91.075
