coord,concurrencia,fallo,repeticion,seed,warmup_seconds,delay_seconds,fault_probability,operaciones,confirmadas,abortadas,inconsistencias,tasa_inconsistencia,tasa_abortos,latencia_pago_p50_ms,latencia_pago_p95_ms,latencia_pago_p99_ms,ordenes_confirmadas_por_segundo,convergencia_compensacion_ms,cpu_segundos,memoria_pico_mb,duracion_segundos,oracle_pass
2pc,50,none,1,107060,0.0,0.05,0.0,50,50,0,0,0.0,0.0,199.987,364.102,378.306,125.102396,0.0,0.15625,0.308731,0.399673,True
2pc,50,none,2,207060,0.0,0.05,0.0,50,50,0,0,0.0,0.0,202.863,371.901,386.777,123.278326,0.0,0.140625,0.265942,0.405586,True
2pc,50,none,3,307060,0.0,0.05,0.0,50,50,0,0,0.0,0.0,199.842,370.151,386.275,123.121019,0.0,0.109375,0.266438,0.406104,True
2pc,50,none,4,407060,0.0,0.05,0.0,50,50,0,0,0.0,0.0,200.094,373.419,388.725,122.525806,0.0,0.125,0.266331,0.408077,True
2pc,50,none,5,507060,0.0,0.05,0.0,50,50,0,0,0.0,0.0,200.628,373.987,389.351,122.416102,0.0,0.265625,0.265915,0.408443,True
2pc,50,omission,1,107064,0.0,0.05,0.1,50,46,4,0,0.0,0.08,198.109,366.969,376.282,116.025901,0.0,0.171875,0.2659,0.396463,True
2pc,50,omission,2,207064,0.0,0.05,0.1,50,42,8,0,0.0,0.16,186.905,331.16,346.66,114.574692,0.0,0.171875,0.265743,0.366573,True
2pc,50,omission,3,307064,0.0,0.05,0.1,50,43,7,0,0.0,0.14,179.606,339.756,355.14,114.516391,0.0,0.15625,0.261929,0.375492,True
2pc,50,omission,4,407064,0.0,0.05,0.1,50,45,5,0,0.0,0.1,179.477,372.892,389.219,109.761827,0.0,0.234375,0.265892,0.409979,True
2pc,50,omission,5,507064,0.0,0.05,0.1,50,44,6,0,0.0,0.12,189.62,346.724,361.964,115.368772,0.0,0.171875,0.265751,0.381386,True
2pc,50,timing,1,107062,0.0,0.05,0.1,50,40,10,0,0.0,0.2,432.63,876.22,960.203,39.918905,0.0,0.234375,0.265783,1.002032,True
2pc,50,timing,2,207062,0.0,0.05,0.1,50,45,5,0,0.0,0.1,360.071,620.194,635.382,64.114903,0.0,0.234375,0.265715,0.701865,True
2pc,50,timing,3,307062,0.0,0.05,0.1,50,47,3,0,0.0,0.06,345.696,524.363,539.413,83.80614,0.0,0.1875,0.265825,0.560818,True
2pc,50,timing,4,407062,0.0,0.05,0.1,50,44,6,0,0.0,0.12,295.919,850.184,890.132,47.259329,0.0,0.125,0.265738,0.931033,True
2pc,50,timing,5,507062,0.0,0.05,0.1,50,42,8,0,0.0,0.16,447.289,783.742,806.738,50.419339,0.0,0.234375,0.265654,0.833014,True
2pc,100,none,1,112060,0.0,0.05,0.0,100,100,0,0,0.0,0.0,385.535,792.7,834.79,100.844228,0.0,0.5625,0.530656,0.991628,True
2pc,100,none,2,212060,0.0,0.05,0.0,100,100,0,0,0.0,0.0,363.178,646.735,683.317,111.328647,0.0,0.375,0.498441,0.898241,True
2pc,100,none,3,312060,0.0,0.05,0.0,100,100,0,0,0.0,0.0,423.087,773.128,807.738,118.079285,0.0,0.375,0.544008,0.846889,True
2pc,100,none,4,412060,0.0,0.05,0.0,100,100,0,0,0.0,0.0,402.719,988.611,1019.077,94.282724,0.0,0.265625,0.540575,1.06064,True
2pc,100,none,5,512060,0.0,0.05,0.0,100,100,0,0,0.0,0.0,396.853,746.609,776.434,121.977564,0.0,0.46875,0.54056,0.819823,True
2pc,100,omission,1,112064,0.0,0.05,0.1,100,93,7,0,0.0,0.07,379.108,714.297,746.799,117.87017,0.0,0.3125,0.540491,0.789004,True
2pc,100,omission,2,212064,0.0,0.05,0.1,100,94,6,0,0.0,0.06,398.829,795.314,837.188,106.007035,0.0,0.453125,0.540545,0.886734,True
2pc,100,omission,3,312064,0.0,0.05,0.1,100,87,13,0,0.0,0.13,367.065,685.947,710.27,110.731893,0.0,0.46875,0.529777,0.785682,True
2pc,100,omission,4,412064,0.0,0.05,0.1,100,89,11,0,0.0,0.11,385.15,707.624,732.95,115.087968,0.0,0.390625,0.540522,0.773321,True
2pc,100,omission,5,512064,0.0,0.05,0.1,100,92,8,0,0.0,0.08,414.518,741.636,775.451,112.984581,0.0,0.40625,0.540514,0.81427,True
2pc,100,timing,1,112062,0.0,0.05,0.1,100,86,14,0,0.0,0.14,689.87,1347.257,1421.3,56.935012,0.0,0.453125,0.535638,1.510494,True
2pc,100,timing,2,212062,0.0,0.05,0.1,100,90,10,0,0.0,0.1,581.843,1130.69,1255.229,69.629904,0.0,0.25,0.540499,1.292548,True
2pc,100,timing,3,312062,0.0,0.05,0.1,100,90,10,0,0.0,0.1,631.214,1199.801,1230.367,70.678665,0.0,0.328125,0.53927,1.273369,True
2pc,100,timing,4,412062,0.0,0.05,0.1,100,87,13,0,0.0,0.13,582.038,1342.319,1418.043,57.939145,0.0,0.265625,0.540491,1.501575,True
2pc,100,timing,5,512062,0.0,0.05,0.1,100,96,4,0,0.0,0.04,491.462,929.663,963.263,95.973339,0.0,0.3125,0.540491,1.000278,True
2pc,200,none,1,122060,0.0,0.05,0.0,200,200,0,0,0.0,0.0,909.929,1656.752,1716.119,108.606553,0.0,0.984375,1.125868,1.841509,True
2pc,200,none,2,222060,0.0,0.05,0.0,200,200,0,0,0.0,0.0,851.717,1828.192,1893.182,101.546714,0.0,0.625,1.07963,1.969537,True
2pc,200,none,3,322060,0.0,0.05,0.0,200,200,0,0,0.0,0.0,794.58,1507.719,1573.144,121.155076,0.0,0.8125,1.079905,1.650777,True
2pc,200,none,4,422060,0.0,0.05,0.0,200,200,0,0,0.0,0.0,811.888,1593.434,1660.561,114.890339,0.0,0.9375,1.079851,1.74079,True
2pc,200,none,5,522060,0.0,0.05,0.0,200,200,0,0,0.0,0.0,808.902,1864.51,1932.779,99.402363,0.0,0.875,1.079851,2.012025,True
2pc,200,omission,1,122064,0.0,0.05,0.1,200,169,31,0,0.0,0.155,789.374,1626.141,1691.609,95.330471,0.0,0.78125,1.076607,1.77278,True
2pc,200,omission,2,222064,0.0,0.05,0.1,200,181,19,0,0.0,0.095,749.485,1549.833,1584.204,108.548468,0.0,0.875,1.076378,1.667458,True
2pc,200,omission,3,322064,0.0,0.05,0.1,200,184,16,0,0.0,0.08,743.058,1447.042,1514.019,115.240269,0.0,0.78125,1.079851,1.596664,True
2pc,200,omission,4,422064,0.0,0.05,0.1,200,179,21,0,0.0,0.105,712.558,1406.036,1471.921,114.937938,0.0,0.71875,1.076607,1.557362,True
2pc,200,omission,5,522064,0.0,0.05,0.1,200,182,18,0,0.0,0.09,749.891,1445.544,1513.001,113.987036,0.0,0.75,1.079851,1.596673,True
2pc,200,timing,1,122062,0.0,0.05,0.1,200,181,19,0,0.0,0.095,1174.416,2643.756,2708.514,63.740378,0.0,0.671875,1.079851,2.839644,True
2pc,200,timing,2,222062,0.0,0.05,0.1,200,180,20,0,0.0,0.1,1383.111,2440.033,2513.068,69.464252,0.0,0.703125,1.09893,2.591261,True
2pc,200,timing,3,322062,0.0,0.05,0.1,200,179,21,0,0.0,0.105,1269.361,2621.231,2689.752,64.614862,0.0,0.703125,1.07863,2.770261,True
2pc,200,timing,4,422062,0.0,0.05,0.1,200,182,18,0,0.0,0.09,1158.557,2288.572,2350.533,73.349014,0.0,0.765625,1.079851,2.481288,True
2pc,200,timing,5,522062,0.0,0.05,0.1,200,177,23,0,0.0,0.115,1236.054,2771.607,2834.616,60.594908,0.0,0.8125,1.085119,2.921038,True
2pc,400,none,1,142060,0.0,0.05,0.0,400,400,0,0,0.0,0.0,1723.202,3252.869,3380.73,112.876496,0.0,1.640625,2.254629,3.543696,True
2pc,400,none,2,242060,0.0,0.05,0.0,400,400,0,0,0.0,0.0,1937.289,3401.944,3534.757,108.066222,0.0,1.453125,2.192879,3.701434,True
2pc,400,none,3,342060,0.0,0.05,0.0,400,400,0,0,0.0,0.0,1799.648,3592.416,3726.625,103.054465,0.0,1.546875,2.193604,3.881443,True
2pc,400,none,4,442060,0.0,0.05,0.0,400,400,0,0,0.0,0.0,1636.2,3158.912,3286.223,115.798281,0.0,1.65625,2.187708,3.454283,True
2pc,400,none,5,542060,0.0,0.05,0.0,400,400,0,0,0.0,0.0,2081.211,3636.765,3761.432,100.936817,0.0,1.734375,2.186993,3.962875,True
2pc,400,omission,1,142064,0.0,0.05,0.1,400,353,47,0,0.0,0.1175,1557.841,2927.899,3331.31,100.894344,0.0,1.8125,2.190783,3.49871,True
2pc,400,omission,2,242064,0.0,0.05,0.1,400,362,38,0,0.0,0.095,1562.889,3085.252,3208.289,107.417878,0.0,1.515625,2.193604,3.370016,True
2pc,400,omission,3,342064,0.0,0.05,0.1,400,358,42,0,0.0,0.105,1484.66,3119.19,3252.304,104.579287,0.0,1.53125,2.183687,3.42324,True
2pc,400,omission,4,442064,0.0,0.05,0.1,400,363,37,0,0.0,0.0925,1537.707,3028.299,3150.507,109.568999,0.0,1.546875,2.183764,3.312981,True
2pc,400,omission,5,542064,0.0,0.05,0.1,400,365,35,0,0.0,0.0875,1772.609,3138.966,3261.887,107.046963,0.0,1.421875,2.193604,3.409718,True
2pc,400,timing,1,142062,0.0,0.05,0.1,400,360,40,0,0.0,0.1,3001.869,5311.816,5511.629,62.766737,0.0,1.640625,2.199566,5.735522,True
2pc,400,timing,2,242062,0.0,0.05,0.1,400,362,38,0,0.0,0.095,2456.856,4791.1,5053.822,67.131263,0.0,1.453125,2.16361,5.392421,True
2pc,400,timing,3,342062,0.0,0.05,0.1,400,357,43,0,0.0,0.1075,3151.703,5490.309,5708.891,60.852653,0.0,1.484375,2.206482,5.86663,True
2pc,400,timing,4,442062,0.0,0.05,0.1,400,358,42,0,0.0,0.105,2651.936,5271.011,5633.613,61.137891,0.0,1.71875,2.209154,5.855616,True
2pc,400,timing,5,542062,0.0,0.05,0.1,400,360,40,0,0.0,0.1,3047.536,5706.515,5938.999,57.690644,0.0,2.125,2.175817,6.24018,True
saga,50,none,1,107070,0.0,0.05,0.0,50,50,0,0,0.0,0.0,1017.453,1876.494,1950.524,25.073894,0.0,0.75,0.266379,1.994106,True
saga,50,none,2,207070,0.0,0.05,0.0,50,50,0,0,0.0,0.0,1172.753,2016.956,2096.83,23.379115,0.0,0.75,0.266379,2.138661,True
saga,50,none,3,307070,0.0,0.05,0.0,50,50,0,0,0.0,0.0,1119.174,2175.637,2269.289,21.576323,0.0,0.90625,0.266379,2.317355,True
saga,50,none,4,407070,0.0,0.05,0.0,50,50,0,0,0.0,0.0,994.988,1891.908,1970.505,24.727275,0.0,0.640625,0.266379,2.022059,True
saga,50,none,5,507070,0.0,0.05,0.0,50,50,0,0,0.0,0.0,989.074,2092.869,2168.611,22.440874,0.0,0.96875,0.266379,2.228077,True
saga,50,omission,1,107074,0.0,0.05,0.1,50,44,6,0,0.0,0.12,999.588,1940.596,2017.482,21.38626,1745.809,0.6875,0.275199,2.057396,True
saga,50,omission,2,207074,0.0,0.05,0.1,50,48,2,0,0.0,0.04,998.275,1867.023,1947.039,24.1177,441.852,0.609375,0.266379,1.99024,True
saga,50,omission,3,307074,0.0,0.05,0.1,50,47,3,0,0.0,0.06,1121.77,1976.264,2050.824,22.487464,2046.417,0.828125,0.266379,2.090053,True
saga,50,omission,4,407074,0.0,0.05,0.1,50,44,6,0,0.0,0.12,1012.836,1860.422,1934.65,22.264886,1575.055,0.75,0.270576,1.976206,True
saga,50,omission,5,507074,0.0,0.05,0.1,50,49,1,0,0.0,0.02,985.875,1871.46,2069.664,21.984545,1219.95,0.640625,0.270576,2.228838,True
saga,50,timing,1,107072,0.0,0.05,0.1,50,46,4,0,0.0,0.08,1191.105,2211.419,2290.848,19.728133,1368.057,1.03125,0.270576,2.331696,True
saga,50,timing,2,207072,0.0,0.05,0.1,50,44,6,0,0.0,0.12,1247.294,2225.683,2329.688,18.312709,2304.132,0.6875,0.270576,2.402703,True
saga,50,timing,3,307072,0.0,0.05,0.1,50,42,8,0,0.0,0.16,1348.041,2402.938,2535.102,16.3038,2445.345,0.75,0.270576,2.576086,True
saga,50,timing,4,407072,0.0,0.05,0.1,50,43,7,0,0.0,0.14,1285.391,2285.978,2363.163,17.890498,1590.549,0.8125,0.270576,2.403511,True
saga,50,timing,5,507072,0.0,0.05,0.1,50,48,2,0,0.0,0.04,1399.231,2334.17,2411.565,19.575033,2183.861,0.90625,0.270576,2.452103,True
saga,100,none,1,112070,0.0,0.05,0.0,100,100,0,0,0.0,0.0,2029.23,3880.045,4025.2,24.357933,0.0,1.765625,0.549728,4.105439,True
saga,100,none,2,212070,0.0,0.05,0.0,100,100,0,0,0.0,0.0,1784.102,3389.515,3534.787,27.781223,0.0,1.171875,0.548698,3.599553,True
saga,100,none,3,312070,0.0,0.05,0.0,100,100,0,0,0.0,0.0,2049.298,3624.19,3768.098,26.046271,0.0,1.265625,0.548698,3.839321,True
