coord,concurrencia,fallo,n,latencia_p95_mediana_ms,latencia_p95_ic95_inf_ms,latencia_p95_ic95_sup_ms,throughput_mediana_ops_s,throughput_ic95_inf_ops_s,throughput_ic95_sup_ops_s,tasa_inconsistencia,tasa_inconsistencia_ic95_inf,tasa_inconsistencia_ic95_sup,tasa_abortos,tasa_abortos_ic95_inf,tasa_abortos_ic95_sup,cpu_mediana_segundos,memoria_pico_mediana_mb,oracle_pass_all
2pc,50,none,5,371.901,364.102,373.987,123.121019,122.416102,125.102396,0.0,0.0,0.015133,0.0,0.0,0.015133,0.140625,0.266331,True
2pc,50,omission,5,346.724,331.16,372.892,114.574692,109.761827,116.025901,0.0,0.0,0.015133,0.12,0.085363,0.166138,0.171875,0.265751,True
2pc,50,timing,5,783.742,524.363,876.22,50.419339,39.918905,83.80614,0.0,0.0,0.015133,0.128,0.092147,0.175112,0.234375,0.265738,True
2pc,100,none,5,773.128,646.735,988.611,111.328647,94.282724,121.977564,0.0,0.0,0.007624,0.0,0.0,0.007624,0.375,0.54056,True
2pc,100,omission,5,714.297,685.947,795.314,112.984581,106.007035,117.87017,0.0,0.0,0.007624,0.09,0.067943,0.118309,0.40625,0.540514,True
2pc,100,timing,5,1199.801,929.663,1347.257,69.629904,56.935012,95.973339,0.0,0.0,0.007624,0.102,0.078434,0.131635,0.3125,0.540491,True
2pc,200,none,5,1656.752,1507.719,1864.51,108.606553,99.402363,121.155076,0.0,0.0,0.003827,0.0,0.0,0.003827,0.875,1.079851,True
2pc,200,omission,5,1447.042,1406.036,1626.141,113.987036,95.330471,115.240269,0.0,0.0,0.003827,0.105,0.087488,0.125535,0.78125,1.076607,True
2pc,200,timing,5,2621.231,2288.572,2771.607,64.614862,60.594908,73.349014,0.0,0.0,0.003827,0.101,0.083824,0.12123,0.703125,1.079851,True
2pc,400,none,5,3401.944,3158.912,3636.765,108.066222,100.936817,115.798281,0.0,0.0,0.001917,0.0,0.0,0.001917,1.640625,2.192879,True
2pc,400,omission,5,3085.252,2927.899,3138.966,107.046963,100.894344,109.568999,0.0,0.0,0.001917,0.0995,0.087139,0.113396,1.53125,2.190783,True
2pc,400,timing,5,5311.816,4791.1,5706.515,61.137891,57.690644,67.131263,0.0,0.0,0.001917,0.1015,0.08902,0.115508,1.640625,2.199566,True
saga,50,none,5,2016.956,1876.494,2175.637,23.379115,21.576323,25.073894,0.0,0.0,0.015133,0.0,0.0,0.015133,0.75,0.266379,True
saga,50,omission,5,1871.46,1860.422,1976.264,22.264886,21.38626,24.1177,0.0,0.0,0.015133,0.072,0.046026,0.110929,0.6875,0.270576,True
saga,50,timing,5,2285.978,2211.419,2402.938,18.312709,16.3038,19.728133,0.0,0.0,0.015133,0.108,0.075292,0.152573,0.8125,0.270576,True
saga,100,none,5,3585.928,3389.515,3880.045,26.37122,24.357933,27.781223,0.0,0.0,0.007624,0.0,0.0,0.007624,1.265625,0.548698,True
saga,100,omission,5,3945.957,3754.504,4079.45,20.968797,19.92822,21.954582,0.0,0.0,0.007624,0.114,0.089037,0.144849,1.4375,0.548698,True
saga,100,timing,5,4752.633,4603.131,6325.61,17.721157,13.206085,18.055431,0.0,0.0,0.007624,0.128,0.101527,0.160146,1.359375,0.548698,True
saga,200,none,5,8088.499,7075.783,8708.762,23.453884,21.785677,26.565316,0.0,0.0,0.003827,0.0,0.0,0.003827,3.03125,1.093504,True
saga,200,omission,5,11740.416,9903.338,12212.254,14.312728,14.072313,15.85361,0.0,0.0,0.003827,0.115,0.096683,0.136263,3.0625,1.093504,True
saga,200,timing,5,12948.577,12370.38,13302.21,13.018263,12.180352,13.848095,0.0,0.0,0.003827,0.106,0.088405,0.12661,3.21875,1.09403,True
saga,400,none,5,24712.718,23577.929,27393.248,15.316691,13.813191,16.028502,0.0,0.0,0.001917,0.0,0.0,0.001917,6.078125,2.220687,True
saga,400,omission,5,22578.876,22065.261,23499.895,14.966872,14.162519,15.375484,0.0,0.0,0.001917,0.107,0.094198,0.121309,5.0,2.223234,True
saga,400,timing,5,25660.303,24655.867,26674.317,13.139409,12.924695,14.038116,0.0,0.0,0.001917,0.095,0.082915,0.108638,5.390625,2.220363,True
