motor,etapa,master,ejecutores,orden_ejecucion,es_calentamiento,repeticion_util,repeticion,duracion_segundos,tiempo_jdbc_segundos,tiempo_computo_segundos,cpu_segundos,rss_inicial_mb,rss_final_mb,ordenes_fuente,detalles_fuente,usuarios_fuente,filas_resultado_etapa,dataset_max_order_id,python,spark,pandas,modalidad_lectura
pyspark,t1,spark://e4-spark-master:7077,1.0,1,True,,1,15.394901,13.605716,0.477087,0.05,62.016,62.266,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t1,spark://e4-spark-master:7077,1.0,2,False,1.0,2,15.509367,13.85724,0.362749,0.05,62.316,62.316,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t1,spark://e4-spark-master:7077,1.0,3,False,2.0,3,14.320745,12.80196,0.292995,0.05,62.57,62.695,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t1,spark://e4-spark-master:7077,1.0,4,False,3.0,4,13.913573,12.437669,0.31631,0.04,62.516,62.516,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t1,spark://e4-spark-master:7077,1.0,5,False,4.0,5,14.522985,12.918536,0.367884,0.06,62.281,62.406,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t1,spark://e4-spark-master:7077,1.0,6,False,5.0,6,14.521888,12.823996,0.37925,0.05,61.934,61.934,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t1,spark://e4-spark-master:7077,2.0,1,True,,1,14.542323,12.878345,0.374421,0.05,62.137,62.387,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t1,spark://e4-spark-master:7077,2.0,2,False,1.0,2,17.106608,15.647543,0.266087,0.04,62.184,62.434,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t1,spark://e4-spark-master:7077,2.0,3,False,2.0,3,18.604831,16.771797,0.477659,0.06,62.434,62.434,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t1,spark://e4-spark-master:7077,2.0,4,False,3.0,4,17.405699,15.868369,0.332856,0.05,62.613,62.738,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t1,spark://e4-spark-master:7077,2.0,5,False,4.0,5,15.101421,13.460076,0.371357,0.05,62.641,62.891,600000,600000,10000,600000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
