modalidad_lectura,motor,etapa,ejecutores,n,media_segundos,mediana_segundos,desviacion_segundos,ic95_inferior,ic95_superior,jdbc_media_segundos,computo_media_segundos
baseline_pandas_sql_directo,pandas,t1,,5.0,2.847172,2.828678,0.037528,2.800574,2.893769,2.27705,0.472395
baseline_pandas_sql_directo,pandas,t2,,5.0,3.035508,3.053761,0.072702,2.945237,3.12578,2.387916,0.531694
baseline_pandas_sql_directo,pandas,t3,,5.0,3.271061,3.261479,0.05462,3.203241,3.338881,2.345858,0.786109
baseline_pandas_sql_directo,pandas,t4,,5.0,3.405608,3.363995,0.156172,3.211695,3.599521,2.343088,0.920639
baseline_pandas_sql_directo,pandas,t5,,5.0,3.526321,3.516979,0.12848,3.366792,3.685849,2.36941,0.93528
jdbc_particionado_orden_id_4,pyspark,t1,1.0,3.0,17.966838,17.925993,0.426248,16.90798,19.025696,15.989756,0.525557
jdbc_particionado_orden_id_4,pyspark,t1,2.0,3.0,16.799444,16.5891,0.555415,15.419717,18.179172,14.912661,0.489771
jdbc_particionado_orden_id_4,pyspark,t1,4.0,3.0,17.175005,17.371977,0.440238,16.081393,18.268617,15.124448,0.470338
jdbc_sin_particionar,pyspark,t1,1.0,5.0,14.557712,14.521888,0.587198,13.828609,15.286814,12.96788,0.343838
jdbc_sin_particionar,pyspark,t1,2.0,5.0,17.115246,17.357672,1.266645,15.542498,18.687994,15.505228,0.365239
jdbc_sin_particionar,pyspark,t1,4.0,5.0,19.132645,19.152489,1.479774,17.295262,20.970028,17.355728,0.392453
jdbc_sin_particionar,pyspark,t2,1.0,5.0,15.065062,15.214505,0.353596,14.626015,15.504109,12.907612,0.908186
jdbc_sin_particionar,pyspark,t2,2.0,5.0,18.610476,19.269254,1.843949,16.320911,20.900041,16.147099,1.147299
jdbc_sin_particionar,pyspark,t2,4.0,5.0,22.093965,22.907321,1.854366,19.791466,24.396464,18.972789,1.227358
jdbc_sin_particionar,pyspark,t3,1.0,5.0,16.797522,17.081875,0.501674,16.174611,17.420433,12.931412,2.619435
jdbc_sin_particionar,pyspark,t3,2.0,5.0,20.527531,20.775882,1.328603,18.877852,22.17721,16.321268,2.894596
jdbc_sin_particionar,pyspark,t3,4.0,5.0,23.102756,21.888446,2.60095,19.87325,26.332262,18.719986,2.915645
jdbc_sin_particionar,pyspark,t4,1.0,5.0,22.176652,22.17364,0.320257,21.779,22.574304,13.622492,7.252059
jdbc_sin_particionar,pyspark,t4,2.0,5.0,23.8086,23.970486,1.871592,21.484711,26.132489,15.714292,6.711973
jdbc_sin_particionar,pyspark,t4,4.0,5.0,24.216208,23.899502,1.121189,22.824068,25.608348,16.516465,6.435543
jdbc_sin_particionar,pyspark,t5,1.0,5.0,33.16624,33.118199,0.331684,32.7544,33.578081,12.811172,4.64742
jdbc_sin_particionar,pyspark,t5,2.0,5.0,35.589197,35.722294,0.362007,35.139705,36.038688,15.475912,4.692825
jdbc_sin_particionar,pyspark,t5,4.0,5.0,37.834008,39.039621,2.215108,35.083588,40.584428,17.519938,4.722234
